"lat","lon","location"
"41.7203788757324","-87.6221237182617","ABBOTT PARK, IL"
"39.5104598999023","-76.1630325317383","ABERDEEN, MD"
"45.4590911865234","-98.4873199462891","ABERDEEN, SD"
"42.4858016967773","-71.4333190917969","ACTON, MA"
"42.9570083618164","-85.4924926757812","ADA, MI"
"41.9340705871582","-87.9934997558594","ADDISON, IL"
"32.9590682983398","-96.8357849121094","ADDISON, TX"
"34.1458396911621","-118.77758026123","AGOURA HILLS, CA"
"33.5616416931152","-81.7221374511719","AIKEN, SC"
"41.0841903686523","-81.5140609741211","AKRON, OH"
"37.7668304443359","-122.245300292969","ALAMEDA, CA"
"37.8872718811035","-122.297996520996","ALBANY, CA"
"42.6515502929688","-73.7552108764648","ALBANY, NY"
"35.0841789245605","-106.648643493652","ALBUQUERQUE, NM"
"38.896900177002","-77.0063323974609","ALEXANDRIA, DC"
"31.3126602172852","-92.4456787109375","ALEXANDRIA, LA"
"38.8045997619629","-77.0434112548828","ALEXANDRIA, VA"
"34.0937004089355","-118.12727355957","ALHAMBRA, CA"
"43.2459983825684","-77.6638870239258","ALHAMBRA, NY"
"33.5673484802246","-117.72779083252","ALISO VIEJO, CA"
"42.2639198303223","-83.2200469970703","ALLEN PARK, MI"
"33.1001510620117","-96.6744918823242","ALLEN, TX"
"40.6026000976562","-75.4702606201172","ALLENTOWN, PA"
"42.3793754577637","-71.0949325561523","ALLSTON, MA"
"37.2551002502441","-119.617523193359","ALPHARETTA, CA"
"27.0324897766113","-81.9705810546875","ALPHARETTA, FL"
"34.0753707885742","-84.294548034668","ALPHARETTA, GA"
"37.5128211975098","-78.6979446411133","ALPHARETTA, VA"
"28.6659107208252","-81.3597564697266","ALTAMONTE SPRINGS, FL"
"35.2072486877441","-101.833892822266","AMARILLO, TX"
"39.0267486572266","-84.2158508300781","AMELIA, OH"
"44.3927803039551","-117.624778747559","AMELIA, OR"
"42.0253410339355","-93.6202011108398","AMES, IA"
"42.3752593994141","-72.5189514160156","AMHERST, MA"
"42.861930847168","-71.6240234375","AMHERST, NH"
"42.978889465332","-78.7994537353516","AMHERST, NY"
"33.8327598571777","-117.915718078613","ANAHEIM, CA"
"61.2175598144531","-149.858383178711","ANCHORAGE, AK"
"34.8999290466309","-92.4388732910156","ANCHORAGE, AR"
"42.6580696105957","-71.1419067382812","ANDOVER, MA"
"45.2438507080078","-93.3061828613281","ANDOVER, MN"
"42.2821006774902","-83.7484664916992","ANN ARBOR, MI"
"40.6408004760742","-74.8817672729492","ANNANDALE, NJ"
"38.8317909240723","-77.1952972412109","ANNANDALE, VA"
"38.9766693115234","-76.4899597167969","ANNAPOLIS, MD"
"42.9823913574219","-76.2921524047852","ANNAPOLIS, NY"
"44.2407989501953","-88.4085006713867","APPLETON, WI"
"34.1361389160156","-118.038871765137","ARCADIA, CA"
"44.2523193359375","-91.4991607666016","ARCADIA, WI"
"46.1005783081055","-84.6496124267578","ARDEN HILLS, MI"
"45.0791702270508","-93.1582565307617","ARDEN HILLS, MN"
"34.172679901123","-97.1287689208984","ARDMORE, OK"
"40.0073394775391","-75.2899703979492","ARDMORE, PA"
"33.1077308654785","-96.9182815551758","ARDMORE, TX"
"42.0871810913086","-87.9804382324219","ARLINGTON HEIGHTS, IL"
"42.4162902832031","-71.1567611694336","ARLINGTON, MA"
"35.2915191650391","-89.6744995117188","ARLINGTON, TN"
"32.7355995178223","-97.1077194213867","ARLINGTON, TX"
"38.8785858154297","-77.0688323974609","ARLINGTON, VA"
"48.1942901611328","-122.126411437988","ARLINGTON, WA"
"41.1194114685059","-73.708381652832","ARMONK, NY"
"31.7056007385254","-83.6542510986328","ASHBURN, GA"
"39.051628112793","-77.4831466674805","ASHBURN, VA"
"42.2612991333008","-71.4657897949219","ASHLAND, MA"
"42.1996688842773","-122.71703338623","ASHLAND, OR"
"40.7752304077148","-73.8910980224609","ASTORIA, NY"
"33.9581298828125","-83.3732528686523","ATHENS, GA"
"39.328498840332","-82.1044387817383","ATHENS, OH"
"37.3154640197754","-121.893890380859","ATLANTA, CA"
"15.1400003433228","-38.4300003051758","ATLANTA, FL"
"33.7483100891113","-84.39111328125","ATLANTA, GA"
"40.2161483764648","-86.0262298583984","ATLANTA, IN"
"35.585880279541","-82.5865173339844","ATLANTA, NC"
"40.7142791748047","-74.2761764526367","ATLANTA, NJ"
"42.5543403625488","-77.472282409668","ATLANTA, NY"
"33.1152992248535","-94.1681137084961","ATLANTA, TX"
"42.6711196899414","-83.2205276489258","AUBURN HILLS, MI"
"46.3493614196777","-94.198371887207","AUBURN HILLS, MN"
"32.6041412353516","-85.4818801879883","AUBURN, AL"
"38.8961982727051","-121.078872680664","AUBURN, CA"
"41.3669281005859","-85.0539627075195","AUBURN, IN"
"44.0977592468262","-70.2292861938477","AUBURN, ME"
"43.6028900146484","-84.0693893432617","AUBURN, MI"
"43.0020790100098","-71.3463516235352","AUBURN, NH"
"47.3073997497559","-122.230407714844","AUBURN, WA"
"33.4790916442871","-81.9753112792969","AUGUSTA, GA"
"44.363151550293","-69.6363906860352","AUGUSTA, ME"
"39.7093200683594","-104.814582824707","AURORA, CO"
"41.7570686340332","-88.3160629272461","AURORA, IL"
"41.3149604797363","-81.3454895019531","AURORA, OH"
"37.2424011230469","-121.998001098633","AUSTIN, CA"
"38.7879295349121","-107.963256835938","AUSTIN, CO"
"34.8668212890625","-84.3184661865234","AUSTIN, GA"
"43.6665916442871","-92.9729766845703","AUSTIN, MN"
"42.809871673584","-76.4703369140625","AUSTIN, NY"
